<<<<<<< HEAD
9:00:13 回头，下次盈利回头44.152
9:00:15 20181228-0541期没有可投注的方案
9:01:10 20181228-0542期没有可投注的方案
9:02:11 20181228-0543期没有可投注的方案
9:03:12 20181228-0544期没有可投注的方案
9:04:13 20181228-0545期没有可投注的方案
9:05:08 20181228-0546期方案1已投注，倍数19，模拟
9:06:14 20181228-0547期方案1已投注，倍数86，模拟
9:07:13 回头，下次盈利回头46.13601
9:07:15 20181228-0548期没有可投注的方案
9:08:11 20181228-0549期方案10已投注，倍数19，模拟
9:09:12 20181228-0550期方案10已投注，倍数86，模拟
9:10:10 回头，下次盈利回头48.12001
9:10:12 20181228-0551期没有可投注的方案
9:11:13 20181228-0552期没有可投注的方案
9:12:19 20181228-0553期没有可投注的方案
9:13:09 20181228-0554期方案5已投注，倍数19，模拟
9:14:13 回头，下次盈利回头49.14601
9:14:15 20181228-0555期没有可投注的方案
9:15:11 20181228-0556期方案1已投注，倍数19，模拟
9:16:14 回头，下次盈利回头50.17201
9:16:16 20181228-0557期没有可投注的方案
9:17:12 20181228-0558期没有可投注的方案
9:18:13 20181228-0559期方案5已投注，倍数19，模拟
9:18:13 20181228-0559期方案9已投注，倍数19，模拟
9:19:07 回头，下次盈利回头52.22401
9:19:09 20181228-0560期没有可投注的方案
9:20:10 20181228-0561期方案3已投注，倍数19，模拟
9:20:10 20181228-0561期方案4已投注，倍数19，模拟
9:21:14 回头，下次盈利回头54.27601
9:21:16 20181228-0562期没有可投注的方案
9:22:12 20181228-0563期没有可投注的方案
9:23:13 20181228-0564期没有可投注的方案
9:24:08 20181228-0565期没有可投注的方案
9:25:14 20181228-0566期没有可投注的方案
9:26:15 20181228-0567期没有可投注的方案
9:27:10 20181228-0568期方案8已投注，倍数19，模拟
9:28:14 回头，下次盈利回头55.30201
9:28:16 20181228-0569期方案9已投注，倍数19，模拟
9:29:08 回头，下次盈利回头56.32801
9:29:10 20181228-0570期没有可投注的方案
9:30:17 20181228-0571期没有可投注的方案
9:31:12 20181228-0572期没有可投注的方案
9:32:13 20181228-0573期没有可投注的方案
9:33:09 20181228-0574期没有可投注的方案
9:34:10 20181228-0575期没有可投注的方案
9:35:16 20181228-0576期没有可投注的方案
9:36:12 20181228-0577期方案5已投注，倍数19，模拟
9:37:10 回头，下次盈利回头57.35402
9:37:12 20181228-0578期没有可投注的方案
9:38:08 20181228-0579期没有可投注的方案
9:39:14 20181228-0580期没有可投注的方案
9:40:10 20181228-0581期没有可投注的方案
9:41:11 20181228-0582期没有可投注的方案
9:42:17 20181228-0583期没有可投注的方案
9:43:12 20181228-0584期方案1已投注，倍数19，模拟
9:43:12 20181228-0584期方案6已投注，倍数19，模拟
9:44:13 20181228-0585期方案1已投注，倍数86，模拟
9:44:13 20181228-0585期方案8已投注，倍数19，模拟
9:44:13 20181228-0585期方案9已投注，倍数19，模拟
9:45:07 回头，下次盈利回头62.41602
9:45:09 20181228-0586期没有可投注的方案
9:46:14 20181228-0587期方案4已投注，倍数19，模拟
9:46:14 20181228-0587期方案7已投注，倍数19，模拟
9:47:08 回头，下次盈利回头64.46802
9:47:10 20181228-0588期没有可投注的方案
9:48:11 20181228-0589期方案1已投注，倍数19，模拟
9:48:11 20181228-0589期方案7已投注，倍数19，模拟
9:49:09 回头，下次盈利回头66.52002
9:49:11 20181228-0590期方案2已投注，倍数19，模拟
9:50:10 回头，下次盈利回头67.54602
9:50:12 20181228-0591期没有可投注的方案
9:51:12 20181228-0592期没有可投注的方案
9:52:09 20181228-0593期没有可投注的方案
9:53:14 20181228-0594期方案2已投注，倍数19，模拟
9:53:14 20181228-0594期方案4已投注，倍数19，模拟
9:54:08 回头，下次盈利回头69.59802
9:54:10 20181228-0595期方案9已投注，倍数19，模拟
9:55:09 回头，下次盈利回头70.62402
9:55:11 20181228-0596期没有可投注的方案
9:56:17 20181228-0597期没有可投注的方案
9:57:13 20181228-0598期没有可投注的方案
9:58:14 20181228-0599期方案5已投注，倍数19，模拟
9:58:14 20181228-0599期方案9已投注，倍数19，模拟
9:59:08 回头，下次盈利回头72.67603
9:59:10 20181228-0600期方案5已投注，倍数19，模拟
10:00:14 回头，下次盈利回头73.70203
10:00:16 20181228-0601期没有可投注的方案
10:01:11 20181228-0602期没有可投注的方案
10:02:12 20181228-0603期没有可投注的方案
10:03:14 20181228-0604期没有可投注的方案
10:04:09 20181228-0605期没有可投注的方案
10:05:15 20181228-0606期没有可投注的方案
10:06:11 20181228-0607期没有可投注的方案
10:07:12 20181228-0608期方案1已投注，倍数19，模拟
10:07:12 20181228-0608期方案8已投注，倍数19，模拟
10:08:16 回头，下次盈利回头75.75403
10:08:18 20181228-0609期方案6已投注，倍数19，模拟
10:08:18 20181228-0609期方案8已投注，倍数19，模拟
10:09:11 回头，下次盈利回头77.80603
10:09:13 20181228-0610期没有可投注的方案
10:10:14 20181228-0611期没有可投注的方案
10:11:21 20181228-0612期方案1已投注，倍数19，模拟
10:12:15 回头，下次盈利回头78.83203
10:12:17 20181228-0613期没有可投注的方案
10:13:12 20181228-0614期没有可投注的方案
10:14:13 20181228-0615期方案2已投注，倍数19，模拟
10:14:13 20181228-0615期方案4已投注，倍数19，模拟
10:14:13 20181228-0615期方案10已投注，倍数19，模拟
10:15:14 20181228-0616期方案4已投注，倍数86，模拟
10:16:08 回头，下次盈利回头82.86803
10:16:10 20181228-0617期没有可投注的方案
10:17:11 20181228-0618期没有可投注的方案
10:18:12 20181228-0619期方案3已投注，倍数19，模拟
10:18:12 20181228-0619期方案9已投注，倍数19，模拟
10:19:13 20181228-0620期方案9已投注，倍数86，模拟
10:20:08 20181228-0621期方案9已投注，倍数324，模拟
10:21:12 回头，下次盈利回头86.69003
10:21:14 20181228-0622期没有可投注的方案
10:22:10 20181228-0623期方案8已投注，倍数19，模拟
10:23:13 回头，下次盈利回头87.71603
10:23:15 20181228-0624期没有可投注的方案
10:24:16 20181228-0625期没有可投注的方案
10:25:12 20181228-0626期方案1已投注，倍数19，模拟
10:25:12 20181228-0626期方案4已投注，倍数19，模拟
10:25:12 20181228-0626期方案7已投注，倍数19，模拟
10:26:11 回头，下次盈利回头90.79403
10:26:13 20181228-0627期方案8已投注，倍数19，模拟
10:27:10 20181228-0628期方案8已投注，倍数86，模拟
10:28:11 20181228-0629期方案4已投注，倍数19，模拟
10:28:11 20181228-0629期方案7已投注，倍数19，模拟
10:28:11 20181228-0629期方案8已投注，倍数324，模拟
10:29:10 回头，下次盈利回头91.95602
10:29:12 20181228-0630期方案7已投注，倍数19，模拟
10:30:11 回头，下次盈利回头92.98203
10:30:13 20181228-0631期没有可投注的方案
10:31:15 20181228-0632期方案6已投注，倍数19，模拟
10:31:15 20181228-0632期方案7已投注，倍数19，模拟
10:32:09 回头，下次盈利回头95.03403
10:32:11 20181228-0633期方案9已投注，倍数19，模拟
10:33:11 回头，下次盈利回头96.06003
10:33:13 20181228-0634期没有可投注的方案
10:34:10 20181228-0635期没有可投注的方案
10:35:11 20181228-0636期没有可投注的方案
10:36:12 20181228-0637期没有可投注的方案
10:37:16 20181228-0638期方案1已投注，倍数19，模拟
10:37:16 20181228-0638期方案5已投注，倍数19，模拟
10:38:17 20181228-0639期方案1已投注，倍数86，模拟
10:39:11 回头，下次盈利回头99.07002
10:39:13 20181228-0640期方案3已投注，倍数19，模拟
10:40:14 20181228-0641期方案3已投注，倍数86，模拟
10:40:14 20181228-0641期方案8已投注，倍数19，模拟
10:40:14 20181228-0641期方案10已投注，倍数19，模拟
10:41:08 回头，下次盈利回头103.106
10:41:10 20181228-0642期方案1已投注，倍数19，模拟
10:41:11 20181228-0642期方案9已投注，倍数19，模拟
10:42:12 20181228-0643期方案3已投注，倍数19，模拟
10:42:12 20181228-0643期方案9已投注，倍数86，模拟
10:43:08 20181228-0644期方案9已投注，倍数324，模拟
10:44:12 回头，下次盈利回头107.954
10:44:14 20181228-0645期没有可投注的方案
10:45:15 20181228-0646期方案4已投注，倍数19，模拟
10:45:15 20181228-0646期方案8已投注，倍数19，模拟
10:46:10 回头，下次盈利回头110.006
10:46:12 20181228-0647期方案7已投注，倍数19，模拟
10:47:11 回头，下次盈利回头111.032
10:47:13 20181228-0648期没有可投注的方案
10:48:09 20181228-0649期方案6已投注，倍数19，模拟
10:48:09 20181228-0649期方案10已投注，倍数19，模拟
10:49:15 20181228-0650期方案9已投注，倍数19，模拟
10:49:15 20181228-0650期方案10已投注，倍数86，模拟
10:50:15 回头，下次盈利回头115.068
10:50:17 20181228-0651期方案5已投注，倍数19，模拟
10:51:11 回头，下次盈利回头116.094
10:51:13 20181228-0652期没有可投注的方案
10:52:14 20181228-0653期方案6已投注，倍数19，模拟
10:53:08 回头，下次盈利回头117.12
10:53:10 20181228-0654期方案2已投注，倍数19，模拟
10:54:16 20181228-0655期方案2已投注，倍数86，模拟
10:55:11 回头，下次盈利回头119.104
10:55:13 20181228-0656期没有可投注的方案
10:56:14 20181228-0657期方案6已投注，倍数19，模拟
10:56:14 20181228-0657期方案9已投注，倍数19，模拟
10:57:08 回头，下次盈利回头121.156
10:57:10 20181228-0658期没有可投注的方案
10:58:11 20181228-0659期没有可投注的方案
10:59:17 20181228-0660期没有可投注的方案
11:00:25 20181228-0661期方案1已投注，倍数19，模拟
11:01:16 20181228-0662期方案1已投注，倍数86，模拟
11:02:10 回头，下次盈利回头123.14
11:02:12 20181228-0663期方案5已投注，倍数19，模拟
11:03:11 回头，下次盈利回头124.166
11:03:13 20181228-0664期方案1已投注，倍数19，模拟
11:04:07 回头，下次盈利回头125.192
11:04:09 20181228-0665期没有可投注的方案
11:05:10 20181228-0666期没有可投注的方案
11:06:17 20181228-0667期没有可投注的方案
11:07:53 请求奖期信息错误, Bad Gateway, 重试1...
11:07:55 20181228-0668期投注时间已过
11:08:16 20181228-0669期方案1已投注，倍数19，模拟
11:08:16 20181228-0669期方案3已投注，倍数19，模拟
11:09:12 20181228-0670期方案1已投注，倍数86，模拟
11:10:11 回头，下次盈利回头128.202
11:10:13 20181228-0671期方案4已投注，倍数19，模拟
11:11:08 回头，下次盈利回头129.228
11:11:10 20181228-0672期方案3已投注，倍数19，模拟
11:11:10 20181228-0672期方案7已投注，倍数19，模拟
11:12:11 20181228-0673期方案7已投注，倍数86，模拟
11:13:17 20181228-0674期方案7已投注，倍数324，模拟
11:14:11 回头，下次盈利回头133.05
11:14:13 20181228-0675期方案8已投注，倍数19，模拟
11:15:14 20181228-0676期方案8已投注，倍数86，模拟
11:16:11 20181228-0677期方案8已投注，倍数324，模拟
11:17:10 回头，下次盈利回头135.846
11:17:12 20181228-0678期方案3已投注，倍数19，模拟
11:17:12 20181228-0678期方案6已投注，倍数19，模拟
11:17:12 20181228-0678期方案10已投注，倍数19，模拟
11:18:18 20181228-0679期方案3已投注，倍数86，模拟
11:18:18 20181228-0679期方案4已投注，倍数19，模拟
11:18:18 20181228-0679期方案7已投注，倍数19，模拟
11:19:12 回头，下次盈利回头138.248
11:19:14 20181228-0680期方案4已投注，倍数19，模拟
11:20:13 回头，下次盈利回头139.274
11:20:15 20181228-0681期方案3已投注，倍数19，模拟
11:20:15 20181228-0681期方案9已投注，倍数19，模拟
11:21:11 20181228-0682期方案9已投注，倍数86，模拟
11:22:16 回头，下次盈利回头142.284
11:22:18 20181228-0683期没有可投注的方案
11:23:14 20181228-0684期没有可投注的方案
11:24:15 20181228-0685期没有可投注的方案
11:25:11 20181228-0686期方案1已投注，倍数19，模拟
11:25:11 20181228-0686期方案6已投注，倍数19，模拟
11:26:10 回头，下次盈利回头144.336
11:26:12 20181228-0687期没有可投注的方案
11:27:08 20181228-0688期方案9已投注，倍数19，模拟
11:28:08 回头，下次盈利回头145.362
11:28:10 20181228-0689期方案5已投注，倍数19，模拟
11:29:14 回头，下次盈利回头146.388
11:29:16 20181228-0690期方案5已投注，倍数19，模拟
11:29:16 20181228-0690期方案9已投注，倍数19，模拟
11:30:10 回头，下次盈利回头148.44
11:30:12 20181228-0691期没有可投注的方案
11:31:13 20181228-0692期没有可投注的方案
11:32:19 20181228-0693期方案5已投注，倍数19，模拟
11:33:08 回头，下次盈利回头149.466
11:33:10 20181228-0694期没有可投注的方案
11:34:17 20181228-0695期方案2已投注，倍数19，模拟
11:34:17 20181228-0695期方案5已投注，倍数19，模拟
11:35:13 20181228-0696期方案5已投注，倍数86，模拟
11:35:13 20181228-0696期方案7已投注，倍数19，模拟
11:36:14 20181228-0697期方案4已投注，倍数19，模拟
11:36:14 20181228-0697期方案5已投注，倍数324，模拟
11:36:14 20181228-0697期方案8已投注，倍数19，模拟
11:37:08 回头，下次盈利回头152.68
11:37:10 20181228-0698期方案1已投注，倍数19，模拟
11:37:10 20181228-0698期方案6已投注，倍数19，模拟
11:37:10 20181228-0698期方案8已投注，倍数19，模拟
11:38:14 回头，下次盈利回头155.758
11:38:16 20181228-0699期方案2已投注，倍数19，模拟
11:38:16 20181228-0699期方案4已投注，倍数19，模拟
11:39:07 20181228-0700期方案2已投注，倍数86，模拟
11:40:12 回头，下次盈利回头158.768
11:40:14 20181228-0701期没有可投注的方案
11:41:15 20181228-0702期没有可投注的方案
11:42:11 20181228-0703期没有可投注的方案
11:43:17 20181228-0704期没有可投注的方案
11:44:09 20181228-0705期方案7已投注，倍数19，模拟
11:45:15 20181228-0706期方案7已投注，倍数86，模拟
11:46:11 20181228-0707期方案7已投注，倍数324，模拟
11:47:10 回头，下次盈利回头161.564
11:47:12 20181228-0708期没有可投注的方案
11:48:13 20181228-0709期没有可投注的方案
11:49:10 20181228-0710期方案9已投注，倍数19，模拟
11:50:16 20181228-0711期方案9已投注，倍数86，模拟
11:50:16 20181228-0711期方案10已投注，倍数19，模拟
11:51:20 回头，下次盈利回头164.574
11:51:22 20181228-0712期没有可投注的方案
11:52:13 20181228-0713期没有可投注的方案
11:53:09 20181228-0714期方案2已投注，倍数19，模拟
11:53:09 20181228-0714期方案5已投注，倍数19，模拟
11:54:08 回头，下次盈利回头166.626
11:54:10 20181228-0715期没有可投注的方案
11:55:27 20181228-0716期没有可投注的方案
11:56:13 20181228-0717期没有可投注的方案
11:57:14 20181228-0718期方案3已投注，倍数19，模拟
11:57:14 20181228-0718期方案7已投注，倍数19，模拟
11:58:10 20181228-0719期方案3已投注，倍数86，模拟
11:58:10 20181228-0719期方案7已投注，倍数86，模拟
11:59:11 20181228-0720期方案2已投注，倍数19，模拟
11:59:11 20181228-0720期方案4已投注，倍数19，模拟
11:59:11 20181228-0720期方案7已投注，倍数324，模拟
11:59:11 20181228-0720期方案8已投注，倍数19，模拟
12:00:05 模拟爆掉，转为实战
12:00:07 20181228-0721期没有可投注的方案
12:01:14 20181228-0722期没有可投注的方案
12:02:15 20181228-0723期没有可投注的方案
12:03:11 20181228-0724期没有可投注的方案
12:04:17 20181228-0725期方案10已投注，倍数30，
12:05:13 20181228-0726期方案10已投注，倍数136，
12:06:14 20181228-0727期方案5已投注，倍数30，
12:06:14 20181228-0727期方案10已投注，倍数512，
12:07:08 回头，下次盈利回头0.2180021
12:07:10 20181228-0728期方案5已投注，倍数30，
12:08:10 回头，下次盈利回头1.838002
12:08:12 20181228-0729期方案5已投注，倍数30，
12:09:18 20181228-0730期方案1已投注，倍数30，
12:09:18 20181228-0730期方案5已投注，倍数136，
12:10:20 20181228-0731期方案1已投注，倍数136，
12:11:16 20181228-0732期方案1已投注，倍数512，
12:11:16 20181228-0732期方案10已投注，倍数30，
12:12:12 20181228-0733期方案1已投注，倍数1845，
12:12:12 20181228-0733期方案9已投注，倍数30，
12:13:11 实战爆掉，收益清零
12:13:13 20181228-0734期方案1已投注，倍数30，
12:14:07 回头，下次盈利回头1.63
12:14:09 20181228-0735期没有可投注的方案
12:15:10 20181228-0736期方案3已投注，倍数30，
12:16:17 20181228-0737期方案3已投注，倍数136，
12:16:17 20181228-0737期方案5已投注，倍数30，
12:16:17 20181228-0737期方案7已投注，倍数30，
12:16:17 20181228-0737期方案9已投注，倍数30，
12:17:09 20181228-0738期方案3已投注，倍数512，
12:18:16 20181228-0739期方案1已投注，倍数30，
12:18:16 20181228-0739期方案3已投注，倍数1845，
12:18:16 20181228-0739期方案10已投注，倍数30，
12:19:10 当前盈利14.43，触发盈利转换
12:19:12 20181228-0740期没有可投注的方案
12:20:23 20181228-0741期方案5已投注，倍数19，模拟
12:20:23 20181228-0741期方案9已投注，倍数19，模拟
12:21:17 回头，下次盈利回头2.062
12:21:19 20181228-0742期没有可投注的方案
12:22:10 20181228-0743期方案9已投注，倍数19，模拟
12:22:10 20181228-0743期方案10已投注，倍数19，模拟
12:23:15 回头，下次盈利回头4.114001
12:23:17 20181228-0744期没有可投注的方案
12:24:13 20181228-0745期方案1已投注，倍数19，模拟
12:24:13 20181228-0745期方案2已投注，倍数19，模拟
12:24:13 20181228-0745期方案8已投注，倍数19，模拟
12:25:12 回头，下次盈利回头7.192001
12:25:14 20181228-0746期没有可投注的方案
12:26:10 20181228-0747期没有可投注的方案
12:27:13 20181228-0748期方案10已投注，倍数19，模拟
12:28:08 回头，下次盈利回头8.218001
12:28:10 20181228-0749期没有可投注的方案
12:29:14 20181228-0750期方案6已投注，倍数19，模拟
12:30:09 回头，下次盈利回头9.244001
12:30:11 20181228-0751期方案10已投注，倍数19，模拟
12:31:16 回头，下次盈利回头10.27
12:31:18 20181228-0752期方案8已投注，倍数19，模拟
12:32:13 回头，下次盈利回头11.296
12:32:15 20181228-0753期方案4已投注，倍数19，模拟
12:33:07 回头，下次盈利回头12.322
12:33:09 20181228-0754期没有可投注的方案
12:34:12 20181228-0755期方案10已投注，倍数19，模拟
12:35:07 20181228-0756期方案2已投注，倍数19，模拟
12:35:07 20181228-0756期方案3已投注，倍数19，模拟
12:35:07 20181228-0756期方案5已投注，倍数19，模拟
12:35:07 20181228-0756期方案7已投注，倍数19，模拟
12:35:07 20181228-0756期方案8已投注，倍数19，模拟
12:35:07 20181228-0756期方案10已投注，倍数86，模拟
12:36:15 20181228-0757期方案3已投注，倍数19，模拟
12:36:15 20181228-0757期方案5已投注，倍数86，模拟
12:36:15 20181228-0757期方案7已投注，倍数86，模拟
12:36:15 20181228-0757期方案10已投注，倍数324，模拟
12:37:15 回头，下次盈利回头19.504
12:37:17 20181228-0758期方案3已投注，倍数19，模拟
12:38:12 回头，下次盈利回头20.53
12:38:14 20181228-0759期方案6已投注，倍数19，模拟
12:39:17 20181228-0760期方案5已投注，倍数19，模拟
12:39:17 20181228-0760期方案6已投注，倍数86，模拟
12:39:17 20181228-0760期方案8已投注，倍数19，模拟
12:40:06 回头，下次盈利回头24.566
12:40:08 20181228-0761期方案10已投注，倍数19，模拟
12:41:13 回头，下次盈利回头25.592
12:41:15 20181228-0762期方案1已投注，倍数19，模拟
12:41:15 20181228-0762期方案7已投注，倍数19，模拟
12:42:09 回头，下次盈利回头27.644
12:42:11 20181228-0763期方案4已投注，倍数19，模拟
12:43:10 回头，下次盈利回头28.67001
12:43:12 20181228-0764期方案10已投注，倍数19，模拟
12:44:17 回头，下次盈利回头29.69601
12:44:19 20181228-0765期没有可投注的方案
12:45:10 20181228-0766期没有可投注的方案
12:46:16 20181228-0767期方案8已投注，倍数19，模拟
12:47:10 回头，下次盈利回头30.72201
12:47:12 20181228-0768期方案10已投注，倍数19，模拟
12:48:11 回头，下次盈利回头31.74801
12:48:13 20181228-0769期没有可投注的方案
12:49:15 20181228-0770期没有可投注的方案
12:50:16 20181228-0771期方案1已投注，倍数19，模拟
12:50:16 20181228-0771期方案5已投注，倍数19，模拟
12:50:16 20181228-0771期方案6已投注，倍数19，模拟
12:51:17 20181228-0772期方案1已投注，倍数86，模拟
12:51:17 20181228-0772期方案7已投注，倍数19，模拟
12:52:11 回头，下次盈利回头36.81001
12:52:13 20181228-0773期方案2已投注，倍数19，模拟
12:52:13 20181228-0773期方案8已投注，倍数19，模拟
12:53:13 回头，下次盈利回头38.86201
12:53:15 20181228-0774期没有可投注的方案
12:54:16 20181228-0775期没有可投注的方案
12:54:31 请求奖期信息错误, Bad Gateway, 重试1...
12:55:15 20181228-0776期没有可投注的方案
12:56:16 20181228-0777期没有可投注的方案
12:57:13 20181228-0778期没有可投注的方案
12:58:15 20181228-0779期方案9已投注，倍数19，模拟
12:59:12 20181228-0780期方案2已投注，倍数19，模拟
12:59:12 20181228-0780期方案9已投注，倍数86，模拟
13:00:19 20181228-0781期方案2已投注，倍数86，模拟
13:00:19 20181228-0781期方案8已投注，倍数19，模拟
13:00:19 20181228-0781期方案9已投注，倍数19，模拟
13:01:13 回头，下次盈利回头41.19601
13:01:15 20181228-0782期方案9已投注，倍数19，模拟
13:01:15 20181228-0782期方案10已投注，倍数19，模拟
13:02:12 20181228-0783期方案6已投注，倍数19，模拟
13:02:12 20181228-0783期方案10已投注，倍数86，模拟
13:03:07 回头，下次盈利回头41.54601
13:03:09 20181228-0784期方案6已投注，倍数19，模拟
13:04:12 20181228-0785期方案6已投注，倍数86，模拟
13:05:13 20181228-0786期方案6已投注，倍数324，模拟
13:06:08 回头，下次盈利回头44.34201
13:06:10 20181228-0787期没有可投注的方案
13:07:16 20181228-0788期没有可投注的方案
13:08:08 20181228-0789期没有可投注的方案
13:09:12 20181228-0790期方案1已投注，倍数19，模拟
13:09:12 20181228-0790期方案5已投注，倍数19，模拟
13:10:16 回头，下次盈利回头46.39402
13:10:18 20181228-0791期没有可投注的方案
13:11:12 20181228-0792期方案3已投注，倍数19，模拟
13:12:10 回头，下次盈利回头47.42002
13:12:12 20181228-0793期没有可投注的方案
13:13:14 20181228-0794期没有可投注的方案
13:14:18 20181228-0795期方案1已投注，倍数19，模拟
13:15:07 回头，下次盈利回头48.44602
13:15:09 20181228-0796期没有可投注的方案
13:16:13 20181228-0797期没有可投注的方案
13:17:09 20181228-0798期方案9已投注，倍数19，模拟
13:18:12 回头，下次盈利回头49.47202
13:18:14 20181228-0799期方案4已投注，倍数19，模拟
13:19:08 回头，下次盈利回头50.49802
13:19:10 20181228-0800期方案6已投注，倍数19，模拟
13:20:11 回头，下次盈利回头51.52402
13:20:13 20181228-0801期方案10已投注，倍数19，模拟
13:21:18 20181228-0802期方案10已投注，倍数86，模拟
13:22:11 20181228-0803期方案7已投注，倍数19，模拟
13:22:11 20181228-0803期方案10已投注，倍数324，模拟
13:23:11 模拟爆掉，转为实战
13:23:13 20181228-0804期方案2已投注，倍数30，
13:23:13 20181228-0804期方案10已投注，倍数30，
13:24:13 回头，下次盈利回头3.25
13:24:15 20181228-0805期方案6已投注，倍数30，
13:24:15 20181228-0805期方案7已投注，倍数30，
13:25:11 20181228-0806期方案6已投注，倍数136，
13:26:15 回头，下次盈利回头8.014
13:26:17 20181228-0807期没有可投注的方案
13:27:18 20181228-0808期方案6已投注，倍数30，
13:27:18 20181228-0808期方案10已投注，倍数30，
13:28:13 当前盈利11.244，触发盈利转换
13:28:15 20181228-0809期没有可投注的方案
13:29:11 20181228-0810期没有可投注的方案
13:30:13 20181228-0811期没有可投注的方案
13:31:14 20181228-0812期没有可投注的方案
13:32:10 20181228-0813期方案1已投注，倍数19，模拟
13:33:15 回头，下次盈利回头1.036
13:33:17 20181228-0814期方案2已投注，倍数19，模拟
13:33:17 20181228-0814期方案6已投注，倍数19，模拟
13:34:08 20181228-0815期方案2已投注，倍数86，模拟
13:34:08 20181228-0815期方案3已投注，倍数19，模拟
13:35:12 回头，下次盈利回头5.072001
13:35:14 20181228-0816期没有可投注的方案
13:36:11 20181228-0817期没有可投注的方案
13:37:12 20181228-0818期没有可投注的方案
13:38:18 20181228-0819期方案9已投注，倍数19，模拟
13:39:07 回头，下次盈利回头6.098001
13:39:09 20181228-0820期没有可投注的方案
13:40:21 20181228-0821期方案2已投注，倍数19，模拟
13:40:21 20181228-0821期方案7已投注，倍数19，模拟
13:41:15 回头，下次盈利回头8.150001
13:41:17 20181228-0822期方案4已投注，倍数19，模拟
13:41:17 20181228-0822期方案6已投注，倍数19，模拟
